epoch,train_loss,val_loss,train_top1_acc,val_top1_acc,train_macro_f1,val_macro_f1,val_balanced_acc,lr_backbone,lr_head,grad_norm_mean,grad_norm_max,skipped_batches,epoch_time_sec
0,2.230807065963745,2.2803711891174316,0.109375,0.1111111111111111,0.08047619047619048,0.09523809523809523,0.2,0.0,0.0,0.9999998285733389,0.9999998608572279,0,1.8961715698242188
1,2.183138370513916,2.2775495052337646,0.234375,0.1111111111111111,0.18587662337662336,0.09523809523809523,0.2,2e-05,0.0002,0.9999998607751076,0.9999998864625281,0,1.792114496231079
2,2.218567371368408,2.2706830501556396,0.203125,0.2222222222222222,0.19242424242424244,0.15238095238095237,0.3,4e-05,0.0004,0.9999998962757773,0.9999999087026485,0,2.2773892879486084
