epoch,train_loss,val_loss,train_top1_acc,val_top1_acc,train_macro_f1,val_macro_f1,val_balanced_acc,lr_backbone,lr_head,grad_norm_mean,grad_norm_max,skipped_batches,epoch_time_sec
0,2.429546356201172,2.1991114616394043,0.109375,0.0,0.09906507722297196,0.0,0.0,0.0,0.0,0.9999999138040625,0.9999999282169252,0,1.6130330562591553
1,2.3914445638656616,2.198749303817749,0.0625,0.0,0.07257094757094756,0.0,0.0,2e-05,0.0002,0.9999998968632614,0.999999923215842,0,1.7181472778320312
2,2.3383796215057373,2.1986825466156006,0.140625,0.0,0.1003319597069597,0.0,0.0,4e-05,0.0004,0.9999999520045408,1.0000000299759289,0,1.5552911758422852
