epoch,train_loss,val_loss,train_top1_acc,val_top1_acc,train_macro_f1,val_macro_f1,val_balanced_acc,lr_backbone,lr_head,grad_norm_mean,grad_norm_max,skipped_batches,epoch_time_sec
0,2.5264134407043457,2.1919350624084473,0.0625,0.25,0.06785714285714287,0.18333333333333332,0.3,0.0,0.0,0.49999994363116385,0.9999998872623277,1,2.324951410293579
1,2.2784008979797363,2.1856439113616943,0.09375,0.25,0.11583333333333333,0.1285714285714286,0.3,2e-05,0.0002,0.9999999789692412,0.9999999906000414,0,2.111675500869751
2,2.373728036880493,2.186678886413574,0.15625,0.25,0.14553571428571427,0.16666666666666666,0.2,4e-05,0.0004,0.49999993175392865,0.9999998635078573,1,2.036146402359009
