epoch,train_loss,val_loss,train_top1_acc,val_top1_acc,train_macro_f1,val_macro_f1,val_balanced_acc,lr_backbone,lr_head,grad_norm_mean,grad_norm_max,skipped_batches,epoch_time_sec
0,2.3577543949258737,2.218490570783615,0.13254310344827586,0.10212765957446808,0.10541917342055389,0.07898168854917015,0.09684710131138702,0.0,0.0,0.9999999151164152,1.0000000059886447,0,12.507115840911865
1,2.260225328905829,2.0631092339754105,0.17780172413793102,0.26382978723404255,0.1525619275088258,0.23170512212021838,0.2419534830249116,2e-05,0.0002,0.9999999038544731,1.0000000307720167,0,11.428766965866089
2,2.093185383698036,1.995168536901474,0.22844827586206898,0.2765957446808511,0.21242707678870887,0.250922369140646,0.30398470577042,4e-05,0.0004,0.9999999050228714,1.0000000404081228,0,10.28333568572998
3,2.0184071475061875,1.9350595027208328,0.28448275862068967,0.2978723404255319,0.27032678873950655,0.2841293529513905,0.3245608558108558,6e-05,0.0006,0.999999884792731,0.9999999777359087,0,10.282127857208252
4,1.928390885221547,1.9994933158159256,0.3146551724137931,0.3574468085106383,0.2960555483578908,0.3126864041328077,0.35270186163043304,8e-05,0.0008,0.9999998590445982,0.9999999436589607,0,10.979206323623657
5,2.0009561247295804,1.877570167183876,0.2465277777777778,0.4085106382978723,0.23291498915667777,0.3742469941413109,0.3821233330161901,0.0001,0.001,0.931034406346545,0.999999996624826,2,13.237777709960938
6,1.9542170393055882,1.807442381978035,0.30387931034482757,0.4765957446808511,0.27808814452408454,0.4165670686666205,0.45958307565450424,9.991845519630678e-05,0.0009991845519630679,0.9999999354861611,1.0000000228838144,0,12.933388233184814
7,1.7958483408237327,1.7914427369832993,0.36745689655172414,0.451063829787234,0.34765858242832615,0.39906301598480254,0.41976773226773223,9.967408676742751e-05,0.0009967408676742752,0.9999999394884147,1.0000000638116757,0,12.824519634246826
8,1.799926992120414,1.7843519747257233,0.3588362068965517,0.5574468085106383,0.33829582028886607,0.4737252056557864,0.4785715276786705,9.926769179238466e-05,0.0009926769179238466,0.9999999250969773,1.000000019687774,0,13.397085905075073
9,1.6628161833204071,1.7570022940635681,0.38685344827586204,0.5787234042553191,0.3602225313016145,0.5145038213607052,0.536745992103135,9.870059584711668e-05,0.0009870059584711668,0.9999999388894331,1.0000000230819746,0,12.893758296966553
10,1.6353547367556343,1.7098553776741028,0.40948275862068967,0.5531914893617021,0.3874436276933118,0.505915746732042,0.5136168395096967,9.797464868072488e-05,0.0009797464868072487,0.9999999232524762,1.0000000380573042,0,12.35551142692566
11,1.5570027622683296,1.6467994451522827,0.49461206896551724,0.6042553191489362,0.47068671662088113,0.5453799291428336,0.576352219209362,9.709221818197624e-05,0.0009709221818197624,0.9999999210377221,1.0000000416047137,0,12.35867691040039
12,1.508776356434,1.6305885165929794,0.46012931034482757,0.6212765957446809,0.4412897659367505,0.5491110101482441,0.5686768588554303,9.60561826557425e-05,0.0009605618265574251,0.999999893823677,0.9999999807156755,0,13.051965236663818
13,1.523430191237351,1.5930593460798264,0.5786637931034483,0.6680851063829787,0.5513812589825504,0.5791265414108888,0.5860399521113806,9.486992143456792e-05,0.0009486992143456792,0.9999999170798813,1.0000000123946926,0,12.484525680541992
14,1.5546140300816502,1.6267298460006714,0.4644396551724138,0.6042553191489362,0.4342197788931337,0.5213000541125541,0.5437439544582402,9.353730385598887e-05,0.0009353730385598887,0.999999902938979,1.0000000108626301,0,12.229324579238892
