epoch,train_loss,val_loss,train_top1_acc,val_top1_acc,train_macro_f1,val_macro_f1,val_balanced_acc,lr_backbone,lr_head,grad_norm_mean,grad_norm_max,skipped_batches,epoch_time_sec
0,2.4593377113342285,2.261669635772705,0.078125,0.0,0.0664186507936508,0.0,0.0,0.0,0.0,0.9999998249403016,0.9999998431593399,0,1.955709457397461
1,2.373036026954651,2.260599136352539,0.109375,0.1111111111111111,0.10210723121907332,0.05714285714285715,0.1,2e-05,0.0002,0.9999998534695805,0.9999998671861327,0,2.245645046234131
2,2.32074511051178,2.2535908222198486,0.125,0.2222222222222222,0.10228195362466462,0.07142857142857142,0.2,4e-05,0.0004,0.9999999021454198,0.9999999043429696,0,1.7398593425750732
