epoch,train_loss,val_loss,train_top1_acc,val_top1_acc,train_macro_f1,val_macro_f1,val_balanced_acc,lr_backbone,lr_head,grad_norm_mean,grad_norm_max,skipped_batches,epoch_time_sec
0,2.501234531402588,2.170541286468506,0.171875,0.0,0.0899436090225564,0.0,0.0,0.0,0.0,0.9999998794655733,0.9999999314995666,0,1.8875916004180908
1,2.430158019065857,2.158738851547241,0.109375,0.0,0.07042124542124542,0.0,0.0,2e-05,0.0002,0.9999999242453816,0.9999999249850062,0,1.699530839920044
2,2.1594609022140503,2.1465954780578613,0.234375,0.125,0.23969259906759907,0.08333333333333333,0.2,4e-05,0.0004,0.9999999446479166,0.9999999964835563,0,1.8378140926361084
