epoch,train_loss,val_loss,train_top1_acc,val_top1_acc,train_macro_f1,val_macro_f1,val_balanced_acc,lr_backbone,lr_head,grad_norm_mean,grad_norm_max,skipped_batches,epoch_time_sec
0,2.434822916984558,2.213390588760376,0.140625,0.0,0.10077838827838828,0.0,0.0,0.0,0.0,0.9999999102162602,0.9999999976495167,0,2.1174309253692627
1,2.3593326807022095,2.2318050861358643,0.140625,0.0,0.14251984126984127,0.0,0.0,2e-05,0.0002,0.9999999398047272,0.9999999443865387,0,1.7069432735443115
2,2.1726107597351074,2.2560110092163086,0.15625,0.0,0.11607142857142858,0.0,0.0,4e-05,0.0004,0.49999992535006005,0.9999998507001201,1,1.720107078552246
