epoch,train_loss,val_loss,train_top1_acc,val_top1_acc,train_macro_f1,val_macro_f1,val_balanced_acc,lr_backbone,lr_head,grad_norm_mean,grad_norm_max,skipped_batches,epoch_time_sec
0,2.295789361000061,2.2503812313079834,0.171875,0.0,0.1043058443058443,0.0,0.0,0.0,0.0,0.9999999415976185,0.9999999856392888,0,1.945366382598877
1,2.5023033618927,2.2608704566955566,0.15625,0.1111111111111111,0.08574254835597848,0.041666666666666664,0.1,2e-05,0.0002,0.9999999063442278,0.9999999391171912,0,1.7887864112854004
2,2.2166086435317993,2.277559518814087,0.28125,0.2222222222222222,0.24294520838638486,0.08333333333333333,0.2,4e-05,0.0004,0.9999999665792074,0.9999999947689772,0,1.3889548778533936
