epoch,train_loss,val_loss,train_top1_acc,val_top1_acc,train_macro_f1,val_macro_f1,val_balanced_acc,lr_backbone,lr_head,grad_norm_mean,grad_norm_max,skipped_batches,epoch_time_sec
0,2.307347893714905,2.142106294631958,0.203125,0.5,0.14413466967814792,0.2533333333333333,0.3,0.0,0.0,0.9999998660196319,0.9999999415099277,0,1.9912703037261963
1,2.4290199279785156,2.127633810043335,0.21875,0.375,0.1406700937950938,0.10909090909090909,0.2,2e-05,0.0002,0.9999998520193343,0.9999998551911935,0,1.6395838260650635
2,2.202204704284668,2.0848896503448486,0.1875,0.375,0.1374527665317139,0.09999999999999999,0.2,4e-05,0.0004,0.9999999104370775,0.9999999971768038,0,1.8171048164367676
