epoch,train_loss,val_loss,train_top1_acc,val_top1_acc,train_macro_f1,val_macro_f1,val_balanced_acc,lr_backbone,lr_head,grad_norm_mean,grad_norm_max,skipped_batches,epoch_time_sec
0,2.3007915019989014,2.214301586151123,0.125,0.0,0.10012254901960785,0.0,0.0,0.0,0.0,0.9999999383298991,0.9999999724906626,0,1.6309845447540283
1,2.328843116760254,2.223778247833252,0.1875,0.0,0.1403072098404579,0.0,0.0,2e-05,0.0002,0.9999999857720174,1.0000000067511499,0,1.7355787754058838
2,2.065504550933838,2.2091245651245117,0.15625,0.125,0.12186217411656161,0.06666666666666667,0.1,4e-05,0.0004,0.9999999226434797,0.9999999886220127,0,1.7636194229125977
