epoch,train_loss,val_loss,train_top1_acc,val_top1_acc,train_macro_f1,val_macro_f1,val_balanced_acc,lr_backbone,lr_head,grad_norm_mean,grad_norm_max,skipped_batches,epoch_time_sec
0,2.4683730602264404,2.2131991386413574,0.078125,0.0,0.045019157088122604,0.0,0.0,0.0,0.0,0.9999999313049965,0.9999999711301497,0,2.0171058177948
1,2.418569326400757,2.2055397033691406,0.046875,0.125,0.045292207792207786,0.09523809523809523,0.1,2e-05,0.0002,0.9999998480821262,0.9999998612558726,0,1.7588446140289307
2,2.2038846015930176,2.19842791557312,0.171875,0.125,0.14352598566308244,0.09523809523809523,0.1,4e-05,0.0004,0.9999999259599006,0.9999999429447997,0,2.0908589363098145
