epoch,train_loss,val_loss,train_top1_acc,val_top1_acc,train_macro_f1,val_macro_f1,val_balanced_acc,lr_backbone,lr_head,grad_norm_mean,grad_norm_max,skipped_batches,epoch_time_sec
0,2.5512449741363525,2.150646448135376,0.125,0.125,0.08186431623931624,0.05714285714285715,0.16666666666666666,0.0,0.0,0.4999999811521849,0.9999999623043698,1,2.1282732486724854
1,2.5296754837036133,2.164275646209717,0.125,0.125,0.11726998491704374,0.047619047619047616,0.16666666666666666,2e-05,0.0002,0.4999999088733719,0.9999998177467438,1,1.9772117137908936
2,2.3351324796676636,2.181279182434082,0.109375,0.25,0.09374236874236874,0.13888888888888887,0.25,4e-05,0.0004,0.9999998882188256,0.999999925876149,0,2.124004364013672
