sc_thresh,cc_thresh,flag_rate,precision,recall,f1_screening,youden_j
0.1,0.3,0.47324263038548753,0.3404408241494969,0.5322097378277153,0.41525423728813554,0.08456746140495097
0.1,0.4,0.49444444444444446,0.33776656730107774,0.5516853932584269,0.41900156450007114,0.08209189732346767
0.1,0.5,0.5115646258503401,0.33820921985815605,0.5715355805243446,0.42495126705653025,0.08600712523979182
0.1,0.6,0.531859410430839,0.3374547004903006,0.5928838951310862,0.43010460535253364,0.0875180414725496
0.1,0.7,0.5505668934240363,0.33484349258649093,0.6089887640449438,0.43210204623970233,0.08378551201242357
0.15,0.3,0.4883219954648526,0.3380543301602043,0.5453183520599251,0.41737136305002154,0.0817411162875672
0.15,0.4,0.5122448979591837,0.33488269145639665,0.5666666666666667,0.42097941012799106,0.07804878048780495
0.15,0.5,0.5320861678004535,0.3358193053483912,0.5902621722846442,0.42808637783512155,0.08343290399196124
0.15,0.6,0.555328798185941,0.33483054307880766,0.6142322097378277,0.4334038054968287,0.08447611217685203
0.15,0.7,0.576530612244898,0.3321533923303835,0.6325842696629214,0.4355899419729208,0.0803891477117018
0.2,0.3,0.4980725623582766,0.33781015251536534,0.5558052434456929,0.4202180376610506,0.0827971133643921
0.2,0.4,0.5251700680272109,0.3346286701208981,0.5805243445692884,0.42454122158312785,0.07938613318717458
0.2,0.5,0.5478458049886621,0.3348509933774834,0.6059925093632959,0.4313516395627832,0.0833908833470356
0.2,0.6,0.5729024943310658,0.3334652681575302,0.6310861423220974,0.4363589278777677,0.08344386589933306
0.2,0.7,0.5956916099773243,0.3306052531404644,0.650561797752809,0.43841494194851083,0.07869187905362196
0.25,0.3,0.5054421768707483,0.33692238672050245,0.5625468164794007,0.42143658810325474,0.08189640997533587
0.25,0.4,0.5346938775510204,0.3335453774385072,0.5891385767790263,0.42594096940157056,0.07808166620992063
0.25,0.5,0.5594104308390022,0.3338062423996757,0.6168539325842697,0.43319305628616517,0.08238238786882257
0.25,0.6,0.5860544217687075,0.3321725672277036,0.6430711610486891,0.4380660798571246,0.08177034804055916
0.25,0.7,0.6111111111111112,0.32987012987012987,0.6659176029962547,0.4411910669975186,0.07860052982552301
0.3,0.3,0.5121315192743764,0.33628514500774853,0.5689138576779026,0.42270766662028664,0.08143418288115467
0.3,0.4,0.5439909297052155,0.33368070029178826,0.599625468164794,0.42876272094268886,0.07978806979081021
0.3,0.5,0.5706349206349206,0.33399562884959266,0.6295880149812734,0.4364533298714786,0.08454736457476919
0.3,0.6,0.5986394557823129,0.3320075757575758,0.6565543071161049,0.44100628930817615,0.08305837215675527
0.3,0.7,0.6249433106575963,0.33055152394775034,0.6823970037453183,0.44536788071376193,0.08239700374531833
