sc_thresh,cc_thresh,flag_rate,precision,recall,f1_screening,youden_j
0.1,0.3,0.4189342403628118,0.2752368064952639,0.40843373493975904,0.32886014551333875,-0.014631035992310526
0.1,0.4,0.43979591836734694,0.27326630574890437,0.42570281124497994,0.3328623017742189,-0.019636841203677147
0.1,0.5,0.4549886621315193,0.2723648143533516,0.4389558232931727,0.33615254497924035,-0.0223395953482175
0.1,0.6,0.47471655328798185,0.2708383090518271,0.45542168674698796,0.3396735060655983,-0.026884790346219045
0.1,0.7,0.49387755102040815,0.2711202938475666,0.4742971887550201,0.3450189891907684,-0.02728259007594358
0.15,0.3,0.43639455782312925,0.2787737074564822,0.43092369477911646,0.3385392017668402,-0.007622908696397035
0.15,0.4,0.4594104308390023,0.27566633761105624,0.44859437751004017,0.3414857841638642,-0.015070709377795533
0.15,0.5,0.47845804988662133,0.27606635071090047,0.4678714859437751,0.34724292101341275,-0.014750946915624619
0.15,0.6,0.5007936507936508,0.27462078333710666,0.48714859437751,0.3512378746199508,-0.01901254306324829
0.15,0.7,0.5214285714285715,0.2750597956077408,0.5080321285140562,0.3568909578219777,-0.01866613372922976
0.2,0.3,0.4471655328798186,0.27941176470588236,0.442570281124498,0.34255517562946847,-0.006402862635375595
0.2,0.4,0.47290249433106574,0.2759530088707744,0.46224899598393576,0.3455937546914878,-0.014844210967091098
0.2,0.5,0.49523809523809526,0.2767857142857143,0.4855421686746988,0.352580927384077,-0.013509964026722998
0.2,0.6,0.5205215419501134,0.27684600304944457,0.510441767068273,0.35898884338370285,-0.014044804811663703
0.2,0.7,0.5436507936507936,0.2769551616266945,0.5333333333333333,0.36458476321207967,-0.014375987361769371
0.25,0.3,0.4568027210884354,0.28071481757259864,0.4542168674698795,0.34698573400828353,-0.003603037743390658
0.25,0.4,0.4844671201814059,0.2773227240814416,0.4759036144578313,0.35043619695401446,-0.011932088543748387
0.25,0.5,0.509297052154195,0.27871772039180764,0.5028112449799197,0.35863649384130625,-0.009037096252307864
0.25,0.6,0.5363945578231293,0.2783766645529486,0.5289156626506024,0.3647694225176568,-0.010420830240392864
0.25,0.7,0.5621315192743764,0.27934651068979427,0.5562248995983936,0.3719119226638023,-0.008230076704923928
0.3,0.3,0.46417233560090704,0.281875915974597,0.4634538152610442,0.3505467800729041,-0.0010011610422733241
0.3,0.4,0.4933106575963719,0.2778671569754079,0.4855421686746988,0.35345709691565563,-0.010824340014084832
0.3,0.5,0.5204081632653061,0.2793028322440087,0.5148594377510041,0.3621468926553672,-0.007731399531776262
0.3,0.6,0.5493197278911565,0.27966976264189886,0.5441767068273092,0.36946148602590323,-0.007166105179009952
0.3,0.7,0.5776643990929705,0.2804710500490677,0.5738955823293173,0.37679630850362555,-0.00525133710196235
