xai_method,correct_mean,incorrect_mean,delta,wilcoxon_p,bonferroni_p,significant
gradcam,0.30696385848139823,0.2939830075552929,0.012980850926105347,0.6985523621366142,1.0,False
gradcam_pp,0.4670013729724857,0.41627737572197565,0.05072399725051002,0.13771154302458832,0.8262692581475299,False
scorecam,0.44575410186415987,0.3491141595673584,0.09663994229680145,0.006020294362512686,0.03612176617507612,True
eigencam,0.5849482669442457,0.5751297644464558,0.009818502497789927,0.8033889429585479,1.0,False
saliency,0.0863062169771864,0.08308429641073174,0.003221920566454664,0.5448835243146016,1.0,False
integrated_gradients,0.06264934808673453,0.07497126642916743,-0.012321918342432903,0.0713325969426225,0.42799558165573504,False
