sc_thresh,cc_thresh,flag_rate,precision,recall,f1_screening,youden_j
0.1,0.3,0.340702947845805,0.3161397670549085,0.3861788617886179,0.3476669716376944,0.06306565424144805
0.1,0.4,0.35759637188208615,0.31135066582117943,0.3991869918699187,0.3498396864980406,0.0576775579076545
0.1,0.5,0.3739229024943311,0.3086719223771983,0.4138211382113821,0.3535949982632859,0.05533057217364634
0.1,0.6,0.39512471655328796,0.30559540889526543,0.4329268292682927,0.3582842724978974,0.052423684614204547
0.1,0.7,0.4145124716553288,0.3022428884026258,0.4491869918699187,0.3613472858077174,0.04808636293910107
0.15,0.3,0.3515873015873016,0.3160270880361174,0.3983739837398374,0.3524545944973926,0.0648834177021016
0.15,0.4,0.37165532879818597,0.31147040878584503,0.41504065040650406,0.35587312652492153,0.06016643657002607
0.15,0.5,0.39081632653061227,0.30838410211778355,0.4321138211382114,0.35991196885051635,0.057271053842613995
0.15,0.6,0.41462585034013605,0.3048947224500957,0.4532520325203252,0.3645577897662253,0.053566497929130374
0.15,0.7,0.43537414965986393,0.30104166666666665,0.46991869918699186,0.36698412698412697,0.0479061205706397
0.2,0.3,0.36133786848072563,0.3134609350486351,0.4060975609756098,0.3538161855852665,0.06207240374290546
0.2,0.4,0.38458049886621315,0.3095518867924528,0.4268292682926829,0.3588516746411483,0.058590274581991064
0.2,0.5,0.4054421768707483,0.3056487695749441,0.4443089430894309,0.3621603711066932,0.053900138057984215
0.2,0.6,0.43151927437641724,0.302154492905938,0.46747967479674796,0.36706032556654966,0.04986961190366612
0.2,0.7,0.45408163265306123,0.298876404494382,0.4865853658536585,0.3703016241299304,0.04507593189139447
0.25,0.3,0.36904761904761907,0.31121351766513056,0.4117886178861789,0.35450568678915134,0.05927289461573859
0.25,0.4,0.3952380952380952,0.3080895008605852,0.43658536585365854,0.3612512613521695,0.05734008283479053
0.25,0.5,0.41848072562358274,0.3037117312381468,0.4556910569105691,0.36449357827995443,0.05160300659610373
0.25,0.6,0.44625850340136053,0.2992886178861789,0.4788617886178862,0.3683552220137586,0.045213989875747984
0.25,0.7,0.47063492063492063,0.29583232955914235,0.4991869918699187,0.3715020420511269,0.039595796901365166
0.3,0.3,0.3750566893424036,0.31166868198307135,0.4191056910569106,0.3574895977808599,0.06108682313238223
0.3,0.4,0.4043083900226757,0.30874929893438025,0.4475609756097561,0.36541652837703287,0.059982359257554796
0.3,0.5,0.42959183673469387,0.30403800475059384,0.4682926829268293,0.3686989918386942,0.0536700414173954
0.3,0.6,0.4598639455782313,0.2995562130177515,0.49390243902439024,0.3729281767955801,0.047204325816843085
0.3,0.7,0.486281179138322,0.2956400093261833,0.5154471544715448,0.3757593717587791,0.04044715447154479
