xai_method,correct_mean,incorrect_mean,delta,wilcoxon_p,bonferroni_p,significant
gradcam,0.32434718498452153,0.2511552699197923,0.07319191506472922,0.018271384476573317,0.1096283068594399,False
gradcam_pp,0.445289633903925,0.40119011686637174,0.04409951703755327,0.08735702517165345,0.5241421510299207,False
scorecam,0.4977330917236158,0.4524547650453461,0.0452783266782697,0.12179055531928965,0.7307433319157379,False
eigencam,0.313791388368664,0.2665258833860416,0.047265504982622386,0.12026684308299815,0.7216010584979888,False
saliency,0.0686084544602248,0.06649494329537449,0.0021135111648503124,0.65313361828445,1.0,False
integrated_gradients,0.06465385109241163,0.06822903608620007,-0.0035751849937884356,0.5336518649365474,1.0,False
