sc_thresh,cc_thresh,flag_rate,precision,recall,f1_screening,youden_j
0.1,0.3,0.4717687074829932,0.3109829367940399,0.5459915611814345,0.3962639718266727,0.10149543715042686
0.1,0.4,0.4913832199546485,0.3094139363174896,0.5658227848101266,0.4000596658711217,0.10179177705818865
0.1,0.5,0.5065759637188209,0.3068487018800358,0.5784810126582278,0.4009944428195379,0.09832597389853781
0.1,0.6,0.5264172335600907,0.3049752315313375,0.5974683544303797,0.40382147440467697,0.09715827691099976
0.1,0.7,0.5438775510204081,0.30310610798415677,0.6135021097046414,0.40574856983396124,0.09520753606123056
0.15,0.3,0.48968253968253966,0.3079416531604538,0.5611814345991561,0.3976678128270295,0.09777058188597776
0.15,0.4,0.5115646258503401,0.3058510638297872,0.5822784810126582,0.4010462074978204,0.09669708566382096
0.15,0.5,0.5287981859410431,0.302958833619211,0.5962025316455696,0.40176286607904466,0.09217152389363159
0.15,0.6,0.550907029478458,0.3021197777320436,0.619409282700422,0.40614192834416935,0.09367284859189473
0.15,0.7,0.5698412698412698,0.30043772383605255,0.6371308016877637,0.4083288263926447,0.09201452261799625
0.2,0.3,0.5031746031746032,0.30509238395673727,0.5713080168776371,0.3977673325499412,0.09316848199391625
0.2,0.4,0.5267573696145125,0.3032716315109772,0.5945147679324895,0.4016533637400228,0.09265430281621034
0.2,0.5,0.5458049886621316,0.3005816368923972,0.610548523206751,0.40283964365256125,0.08853301933078206
0.2,0.6,0.569047619047619,0.2994620442319187,0.6341772151898735,0.40682095006090135,0.08906093612010602
0.2,0.7,0.5887755102040816,0.2979010206046601,0.6527426160337553,0.4090969192119529,0.087471298204298
0.25,0.3,0.5123582766439909,0.30316441690639523,0.5780590717299579,0.3977355203948324,0.08984201746639187
0.25,0.4,0.537641723356009,0.3009278785322649,0.6021097046413502,0.40129358830146233,0.08815621626925707
0.25,0.5,0.5578231292517006,0.29817073170731706,0.6189873417721519,0.4024691358024692,0.0836385045628496
0.25,0.6,0.5820861678004535,0.29742890533696925,0.6443037974683544,0.40698294243070365,0.08507899126680396
0.25,0.7,0.6036281179138322,0.2958302028549962,0.6645569620253164,0.4094099298154406,0.08331665194779703
0.3,0.3,0.5191609977324263,0.3029045643153527,0.5852320675105486,0.3991941286516046,0.0903483465803161
0.3,0.4,0.5461451247165533,0.30080963255138055,0.6113924050632912,0.4032280506470015,0.08922186242763219
0.3,0.5,0.5680272108843537,0.29780439121756486,0.6295358649789029,0.4043360433604336,0.08410950838975562
0.3,0.6,0.5934240362811791,0.2969048528849828,0.6556962025316456,0.4087322461862178,0.08515356687273101
0.3,0.7,0.6156462585034014,0.29521178637200735,0.6763713080168776,0.411025641025641,0.08303797468354435
