xai_method,correct_mean,incorrect_mean,delta,wilcoxon_p,bonferroni_p,significant
gradcam,0.4521458590856136,0.2738710320902225,0.1782748269953911,2.2398539368350864e-10,1.343912362101052e-09,True
gradcam_pp,0.36317483668128314,0.2615865550716235,0.10158828160965966,0.0002244510835579592,0.0013467065013477552,True
scorecam,0.13273359709358704,0.10370023121512445,0.029033365878462586,0.19600457272735516,1.0,False
eigencam,0.17663014368702942,0.22572723355468252,-0.0490970898676531,0.38377053160454755,1.0,False
saliency,0.061279751848961284,0.061528871418220346,-0.00024911956925906253,0.9523505821484094,1.0,False
integrated_gradients,0.05649856160746632,0.05470854717592873,0.0017900144315375899,0.4561998062417686,1.0,False
