xai_method,correct_mean,incorrect_mean,delta,wilcoxon_p,bonferroni_p,significant
gradcam,0.4437107405897685,0.31951330137917455,0.12419743921059395,0.0002001576478542492,0.0012009458871254952,True
gradcam_pp,0.31600639448675266,0.25455061241775984,0.061455782068992826,0.015277297370956368,0.0916637842257382,False
scorecam,0.14845945919105205,0.10276548381776644,0.04569397537328561,0.002264860821953739,0.013589164931722434,True
eigencam,0.18715458991142647,0.13551038485496655,0.05164420505645992,0.11214301006733346,0.6728580604040008,False
saliency,0.07409011939579384,0.06651288554445381,0.007577233851340029,0.17460149810177938,1.0,False
integrated_gradients,0.07463349291633656,0.07385433442741737,0.0007791584889191849,0.908545914374439,1.0,False
