sc_thresh,cc_thresh,flag_rate,precision,recall,f1_screening,youden_j
0.1,0.3,0.21349206349206348,0.2857142857142857,0.2490740740740741,0.2661390056888449,0.04712212212212208
0.1,0.4,0.22777777777777777,0.2847187655550025,0.26481481481481484,0.27440633245382584,0.04904904904904894
0.1,0.5,0.2417233560090703,0.2847091932457786,0.2810185185185185,0.2828518173345759,0.05203953953953944
0.1,0.6,0.26065759637188207,0.28142670726402785,0.29953703703703705,0.29019959632204534,0.051488988988988904
0.1,0.7,0.2810657596371882,0.2747075433642598,0.31527777777777777,0.29359775813752964,0.04530780780780774
0.15,0.3,0.21904761904761905,0.28467908902691513,0.25462962962962965,0.26881720430107525,0.04712212212212208
0.15,0.4,0.23469387755102042,0.28309178743961355,0.2712962962962963,0.27706855791962176,0.04847347347347353
0.15,0.5,0.25170068027210885,0.28243243243243243,0.2902777777777778,0.28630136986301374,0.05108858858858856
0.15,0.6,0.273015873015873,0.27948504983388706,0.31157407407407406,0.2946584938704028,0.05106356356356345
0.15,0.7,0.2968253968253968,0.27234530175706645,0.3300925925925926,0.2984512348262871,0.044056556556556714
0.2,0.3,0.22290249433106576,0.28382502543234994,0.25833333333333336,0.27047988366456616,0.046921921921921905
0.2,0.4,0.24081632653061225,0.2829566854990584,0.27824074074074073,0.28057889822595705,0.04956206206206204
0.2,0.5,0.2600907029478458,0.28247602441150826,0.3,0.29097440502918726,0.052852852852852905
0.2,0.6,0.2836734693877551,0.2805755395683453,0.325,0.30115830115830117,0.05472972972972978
0.2,0.7,0.3100907029478458,0.27239488117001825,0.3449074074074074,0.30439223697650664,0.04610860860860866
0.25,0.3,0.22517006802721087,0.2824773413897281,0.25972222222222224,0.27062228654124454,0.0457582582582583
0.25,0.4,0.245124716553288,0.28122109158186864,0.2814814814814815,0.28135122628412773,0.04814814814814827
0.25,0.5,0.26564625850340134,0.28040973111395645,0.30416666666666664,0.2918054630246502,0.051013513513513464
0.25,0.6,0.2912698412698413,0.2779291553133515,0.33055555555555555,0.30196658913089447,0.052027027027027106
0.25,0.7,0.31961451247165534,0.26924441291238027,0.35138888888888886,0.30488049809198636,0.04207957957957964
0.3,0.3,0.22698412698412698,0.2822177822177822,0.26157407407407407,0.2715040845747237,0.04580830830830829
0.3,0.4,0.24852607709750568,0.28056569343065696,0.2847222222222222,0.28262867647058826,0.04793543543543555
0.3,0.5,0.2699546485260771,0.27971440571188577,0.30833333333333335,0.2933274609116935,0.05082582582582584
0.3,0.6,0.2971655328798186,0.2762304463945059,0.3351851851851852,0.30286550930767625,0.050350350350350404
0.3,0.7,0.327437641723356,0.268005540166205,0.35833333333333334,0.30665610142630745,0.04091591591591581
